Grapheme,Phoneme,Type,Exception
a,a,Vowel,0
b,b,Consonant,0
c,k,Consonant,0
c,s,Consonant,0
ch,C,Consonant,0
d,d,Consonant,0
e,e,Vowel,0
f,f,Consonant,0
g,g,Consonant,0
g,x,Consonant,1
gu,g,Consonant,0
h,#,Silent,0
i,i,Vowel,0
i,j,Vowel,1
j,x,Consonant,0
k,k,Consonant,0
l,l,Consonant,0
ll,L,Consonant,0
m,m,Consonant,0
n,n,Consonant,0
n,m,Consonant,1
o,o,Vowel,0
p,p,Consonant,1
qu,k,Consonant,0
r,R,Consonant,0
r,r,Consonant,0
rr,R,Consonant,0
s,s,Consonant,0
t,t,Consonant,0
u,u,Vowel,0
u,w,Vowel,1
v,b,Consonant,0
w,w,Consonant,0
x,K,Consonant,0
x,s,Consonant,1
y,i,Vowel,0
y,L,Consonant,0
z,s,Consonant,0
á,a,Vowel,0
é,e,Vowel,0
í,i,Vowel,0
ñ,J,Consonant,0
ó,o,Vowel,0
ú,u,Vowel,0
ü,w,Vowel,1
