Sentence,Lesson
Leyó.,23
Ahí está la llama.,29
Tiene la soga.,22
La niña sembró en el jardín.,32
Va a la casa.,19
Ahí está el marido.,29
Se va a Marte.,21
Voló sobre Marte.,21
Va a abrir la casa.,21
La moneda rodó por el suelo.,21
Lo logró.,22
El ratón se subió a la cama.,16
Se lava. ,19
Él va en bicicleta.,27
Sonó el timbre.,21
La loba saluda a la Luna.,15
La ballena se mete debajo del barco.,24
Las flores adornan la pared.,21
Lee el menú.,11
Alimentó a la llama.,20
Se ríe.,16
La ley del rey era dura.,21
Mi tía me llevó a la feria.,21
Papá anda en bicicleta.,27
Al pavo real se le cayó una pluma bonita.,23
Leí el título del libro.,21
Escuchar.,25
La llave abre la puerta.,21
Abre la ventana.,21
La fiesta duró toda la noche.,25
La harina se obtiene del trigo.,29
El cangrejo camina por la arena.,24
Le leo a mi novia.,19
El caballo galopa a toda velocidad.,27
La señora tiene un bonito anillo.,32
El dragón vuela sobre la torre.,22
Hacen café.,29
Ahí está Juan.,29
Nicolás hizo sumas.,31
Pablo le puso sal a las papas.,15
Saludó a Lucas.,13
Leyó el mensaje.,24
Ya viene.,23
La gallina agita su pluma.,28
Toca una canción con su guitarra.,30
No está en la tienda.,14
Es rápido.,16
Estás triste.,21
Está triste.,21
El salió.,10
Sube lentamente por la pendiente.,21
El viento sopla fuerte sobre la colina.,21
Me cepillo los dientes,27
Quién está de vuelta.,26
El abuelo está viendo una película en la televisión.,19
Limpia la mancha en su manga.,25
Los topos viven bajo tierra.,24
El duende planta zanahorias en el jardín.,31
La tarta huele tan bien.,29
Vacío la basura.,27
Rompió una taza.,31
La gaviota nos robó las papas fritas.,22
Remuevo la tierra con una pala.,19
Ha perdido su llave.,29
La vaca vive en la granja con otros animales.,24
Nos vamos con el abuelo de vacaciones.,27
Silencio,27
Dibuja un cuadrado.,24
El suelo está cubierto de hielo.,29
El suelo resbala en la piscina.,27
El ciclón sopla con fuerza sobre el puerto.,31
La niña corrió hacia su madre.,32
Enciende la lámpara de su dormitorio.,27
El bambú crece en la selva.,27
Toca el trombón,21
Cortamos las manzanas para preparar la torta.,31
La manzana es rica.,31
Buenas noches.,25
Su padre le cuenta un cuento de hadas.,29
Escucha la canción en la radio.,27
La leona caza a la gacela.,31
El león protege a su manada.,28
Ella es mala.,20
El es malo.,10
Colgó la ropa en el patio.,22
Fui a un espectáculo de magia.,28
Llenó el jarrón de rosas.,24
El cohete despega de la tierra.,29
Ella entendió la trampa.,21
Me senté a la mesa.,14
Mi primo vino para las vacaciones.,27
Nos vamos de vacaciones a la playa.,27
Tienes cinco años.,32
La flor desapareció.,27
Terminó el libro.,21
Vio la película.,19
Le regala una bicicleta a María.,27
La máquina funciona.,27
El mercado abre.,21
El gato huyó por debajo del auto.,29
La vaca mastica césped.,27
Leo el diario.,21
El gato caza al ratón.,31
Camino por la montaña.,32
Nos dio limonada.,13
Rápidamente,16
Duerme todo el día.,21
Vamos a jugar a la pelota en el parque.,26
Iremos al parque.,26
Papá me regaló un ramo de rosas.,22
Cierra las persianas.,27
La señora se come la tarta.,32
Las señoras se comen la tarta.,32
El bebé no duerme.,21
Los bebés no duermen.,21
El autobús anda por la calle.,21
El gato trepa.,22
Los gatos trepan.,22
Me seco con una toalla.,20
El cuervo es un pájaro.,24
Bebo té en invierno.,37
Papá nos lee un cuento.,14
Juegan afuera.,24
Le encanta comer helado en la playa.,29
Mi hermano tiene un año.,32
Se fue en taxi.,33
La abuela está enferma.,37
El cisne flota en el estanque.,27
Comes en el restaurante.,21
Comes en un restaurante.,21
Camina rápido.,16
El comerciante vende verduras en el mercado.,27
El pescado se asa en el horno.,29
El perro viejo está descansando.,24
Vamos a la piscina.,27
Ganó un trofeo de tenis.,22
El faro ilumina el camino de los barcos.,21
Nuestro equipo recibió una medalla.,27
Empieza la fiesta.,31
Vio el barco en la orilla.,21
Se va a vivir a una isla.,21
Suena una alarma.,21
La rata vive bajo la ciudad.,27
Enciende la radio.,27
Se suena la nariz.,31
Sacas al gato.,22
Ya ha terminado el libro.,29
La gallina picotea.,22
Mi novia corta la zanahoria.,31
Es un día de descanso.,13
Papá va a la ducha.,25
Se está preparando.,21
Bebe de su taza.,31
Corta la verdura.,21
Llega el autobús.,22
Trae tu libro.,21
Tenemos pasta para el almuerzo.,31
Estás en la tienda.,14
Eres rápida.,21
Mira por la ventana.,21
El taxi nos lleva de nuevo al hotel.,33
Hace mucho frío en este momento.,29
Dibujo un círculo.,27
Iremos a un concierto.,27
Mi primo es lindo.,21
En mi jardín crece un nogal.,27
Recogió manzanas.,31
Sembró la huerta.,29
Robó oro.,21
Ahí está el oso.,29
Le lee el menú a Roberto.,21
Nina va a la luna.,19
El amor nos une.,21
Noelia baña al perro.,32
Siguió al animal.,30
Lo siguió.,30
Me encanta dormir en una cama blanda.,21
El gato cazó a la trucha.,31
Manuel lee rápido.,16
La gallinita roja escapa de las garras del lobo hambriento.,29
El autobús lleva a Carolina a la escuela.,21
Oscar escucha la flauta.,25
Estoy escribiendo una carta para el abuelo.,21
Brenda armó una cuna para el bebé.,21
No olvides alimentar a la gallina.,22
El viento sopla fuerte en la isla.,21
Tenemos que ir a la escuela.,26
El pollito hace pio.,29
No se ha ido.,29
Estás en la escuela.,14
Está en la escuela.,14
Me he comprado un par de zapatos preciosos.,31
Mamá saca una torta del horno.,29
Vi una cebra en el zoológico.,31
Corrió a toda velocidad hacia ellos.,29
Lucía exprime limones para hacer limonada.,33
Comí una manzana de postre.,31
Le entregó el libro al profesor.,22
Mi habitación no está limpia.,29
Se cortó con la cuchilla.,25
Tengo buenos amigos.,22
Mi primo se sentó en la almohada.,29
Los libros están en la parte superior del estante.,21
Paula se comió seis dulces.,27
Ponte los zapatos antes de salir a la calle.,31
Ven a mi casa después de la escuela.,19
Me senté en el tronco de un árbol.,21
Metí todos los goles.,22
Puse dos huevos en la tortilla.,29
El elefante es un animal muy grande con trompa.,22
Estoy enseñando el abecedario a mi hermana pequeña.,32
La rana vive cerca del estanque.,27
Sabes cómo bailar salsa.,21
Mamá preparó la cena.,27
El cachorro mastica el hueso.,29
La ardilla escondió sus nueces.,27
Mi mano.,8
Mamá mía.,8
Mi papá.,8
Su mesa.,11
Mi familia.,18
En mi mano.,8
Mi piano.,8
La familia limpia el sofá.,18
Mamá consigue unos guantes.,30
El mono sigue el camino.,30
Nina sigue a Pepe con un dibujo en la mano.,30
El gato sigue a mamá. El gato busca leche.,30
Su mamá estaba jugando en el espejo.,24
"Una gallina tenía un sapo de amigo. Ellos juegan juntos en el campo. Un día, la gallina encontró un mapa. Decidieron seguir el mapa para buscar un tesoro. Siguieron el mapa y encontraron una caja llena de juguetes. La gallina y el sapo estaban muy contentos.",30
Mi y mano.,9
"Una gallina tenía un sapo de amigo. Ellos juegan juntos en el campo. Un día, la gallina encontró un mapa. Decidieron seguir el mapa para buscar un tesoro. Siguieron el mapa y encontraron una caja lleno de juguetes. La gallina y el sapo estaban contentos.",30
"Pepe ama la música. Un día, Pepe encontró un piano en su casa. Pensó en aprender a tocar el piano. Luego de un tiempo, Pepe tocaba todos los días. Pronto, Pepe tocaba el piano bien.",22
"Un día, un conejito encontró una caja de juguetes perdidos. Jugaba con ellos todos los días. Un día, llamó a sus amigos para jugar con él. El conejo y sus amigos estaban juntos y la pasaban bien.",30
"Mi hermana Elena y yo salimos a jugar al  parque después de desayunar. No tenemos  que ir al colegio porque estamos de vacaciones. Elena tiene diez años y yo tengo siete. Hoy jugamos a imaginar que somos  astronautas. Corremos y saltamos por el  parque, todo en cámara lenta. Es como si estuviéramos en el espacio. Imaginamos que vemos la Tierra desde la Luna. Me encanta jugar con Elena en vacaciones.",32
"Hoy fui al mercado con mi mamá. Ella me pidió que la acompañara a escoger los ingredientes para hacer un postre. Me dio una lista con los nombres de los ingredientes que debía buscar. En los pasillos encontré las fresas, las moras y el  azúcar. También vi una caja de galletas que me gustan mucho. Le pregunté a mi mamá si podía comprarlas, pero ella dijo que no porque íbamos a hacer otro postre delicioso. En vez de las galletas me compró unos colores para dibujar. Cuando llegamos a la casa, usamos los ingredientes para cocinar  juntas. Mientras el postre estaba en el horno, me imaginé cómo quedaría y lo dibujé.",32
"Hay dos gatos que viven en mi casa. Se llaman Pepita y Coco. Uno es amarillo y el otro es blanco. A mí me gusta perseguirlos. Ellos se esconden y yo los encuentro. Así jugamos. Ellos viven conmigo desde que eran bebés. Yo los cuidaba cuando los trajimos a la casa. Mi hermano les daba de comer. Eran muy pequeños y tiernos. Ahora ya son grandes, pero todavía los cuido.",37
"Los fines de semana me gusta comer helado. Mi papá nos lleva después de almorzar. Mi hermano Lucas, mi hermana Martina y yo vamos con él. Cada uno elige el sabor que prefiere. Mi helado favorito es el de fresa. A veces hace calor y el helado se derrite. Hay que comérselo muy rápido. Una vez, a Martina se le cayó su helado y se puso muy triste. Yo le compartí un poco del mío. Ella se puso feliz y nos devolvimos juntas a la casa.",31
"Había una vez, en un pequeño pueblo de Colombia, una niña llamada María y su amigo Juan. Después del colegio, les gustaba jugar en el parque. Un día encontraron un mapa viejo que decía que había un tesoro escondido en una montaña cercana. María, que era muy curiosa, convenció a Juan para ir a buscarlo. Mientras caminaban por un sendero, encontraron un río que necesitaban cruzar.  Juan recordó que había leído sobre cómo construir un puente de cuerdas y, con paciencia, lo hicieron. Aunque la subida fue difícil, no se rindieron. Cuando llegaron a la cima, encontraron una cueva oscura y misteriosa. La entrada de la cueva estaba llena de musgo y piedras resbaladizas. María, que siempre llevaba una linterna en su mochila, la encendió y ambos entraron con cuidado. Después de explorar un rato, encontraron un cofre de  madera enterrado bajo un montón de rocas. Juan lo abrió lentamente, y vio que en su interior había joyas y monedas antiguas. Ambos amigos decidieron llevar el cofre al museo del pueblo, donde los arqueólogos lo recibieron con mucho entusiasmo. Ellos estudiaron el tesoro y descubrieron que era de un grupo de personas que habitó la región hace muchos años. María y Juan fueron considerados héroes por su descubrimiento. El museo organizó una exposición especial en su honor. Aprendieron sobre la historia de su país y cómo ayudar a cuidarlo. Desde entonces, María y Juan siguieron explorando y aprendiendo, convencidos de que lo más valioso es el conocimiento y la amistad.",37
"En un pequeño pueblo de Colombia, vivía Lucía, una niña que amaba el tenis. Todos los días, iba a la cancha, que quedaba cerca de su casa, para entrenar con el señor Martínez, su entrenador. A pesar de los desafíos, Lucía nunca dejó de entrenar para ser una gran tenista. En cada entrenamiento, se esforzaba al máximo, mejorando su técnica. El día del torneo anual del pueblo llegó, y Lucía estaba nerviosa y emocionada al mismo tiempo. Su primer partido fue contra Carlos, un jugador muy fuerte. Después de un emocionante partido, logró vencerlo y avanzar a la siguiente ronda. En las rondas siguientes, enfrentó a oponentes cada vez más difíciles, pero siempre creyó en sí misma. Finalmente, llegó el momento de la gran final, donde se enfrentaría a Marta, la campeona del torneo del año anterior. El partido fue emocionante, con rondas largas y sorprendentes intercambios de golpes. A pesar de la presión, Lucía se mantuvo tranquila y concentrada. Luego de mucho esfuerzo, Lucía ganó el partido y se convirtió en la campeona del torneo. Todos en el pueblo la felicitaron y Lucía se sintió orgullosa de su arduo trabajo y dedicación. Desde ese día, Lucía se convirtió en una inspiración para otros niños y niñas que soñaban con alcanzar sus metas.",37
"En un municipio tranquilo de Colombia vivía Daniel, un niño alegre que disfrutaba ir al colegio cada día. Sin embargo, había una materia que le costaba mucho: las matemáticas. A pesar de estudiar y prestar atención en clase, Daniel no entendía y se sentía triste cuando sacaba malas notas en sus exámenes. Pero Daniel no se rindió. Quería mejorar. Con la ayuda de su profesor y el apoyo de sus padres, comenzó a estudiar más. Repasaba los ejercicios una y otra vez, practicaba problemas y pedía ayuda cuando no entendía algo. Poco a poco, empezó a entender más y a mejorar. El día del examen final de matemáticas llegó, y Daniel se sintió seguro de lo que sabía. Respondió cada pregunta, demostrando todo lo que había aprendido. Cuando llegaron las notas, Daniel no podía creerlo: había sacado la mejor calificación de su vida en matemáticas! Su profesor y sus compañeros lo felicitaron. Daniel estaba muy orgulloso de su esfuerzo.Desde ese día, Daniel se convirtió en un ejemplo para todos, mostrando que con trabajo y dedicación se pueden alcanzar las metas.",37
"En un pueblo de Colombia, vivían Julia y Diego, dos hermanos que amaban la naturaleza. Un día, mientras paseaban por el bosque, encontraron una cueva escondida entre los árboles. Curiosos, decidieron entrar y explorarla. Allí encontraron un antiguo mapa que parecía señalar la ubicación de un tesoro perdido. Emocionados, decidieron seguir las indicaciones del mapa y comenzar una nueva aventura. Pasaron por ríos caudalosos y caminos empinados, pero no se rindieron. Después de un rato, llegaron al destino marcado en el mapa. Descubrieron un lugar especial con árboles grandes y antiguos. En el centro encontraron un cofre enterrado bajo una piedra. Cuando lo abrieron, vieron monedas de oro y piedras brillantes. Julia y Diego llevaron el tesoro de vuelta al pueblo y lo compartieron con todos. El tesoro trajo alegría a cada persona que vivía allí. Los hermanos fueron recordados como héroes por su valentía y generosidad.",33
"En un día soleado, en un pequeño pueblo de  Colombia, Pedro salió a jugar al patio de su casa. Mientras corría por el jardín, escuchó un pio, pio, pio que provenía de un arbusto cercano. Al  acercarse, encontró a un pajarito herido con el ala lastimada y sin poder volar. Pedro sintió pena por el pequeño pájaro y decidió llevarlo a casa para cuidarlo. Con delicadeza, lo tomó entre sus manos y lo llevó a su habitación, creando un nido con una caja y telas suaves. Buscó en internet cómo cuidar a un pájaro herido y aprendió a darle agua y comida adecuada. Cada día revisaba el ala del pajarito y le daba medicina para ayudarlo a sanar. Pasaron los días y el pajarito comenzó a recuperarse gracias a los cuidados de Pedro. Finalmente, el ala del pajarito sanó por completo y pudo volar de nuevo. El pequeño pájaro se despidió con un pio, pio, pio y se fue volando. Pedro lo miró y sonrió, feliz de haberlo ayudado",32
"Había una vez, en un colorido pueblo de Colombia, una niña llamada Sofía. Cada año, su pueblo celebraba un carnaval lleno de música, bailes y disfraces. Este año, Sofía decidió participar en el concurso de disfraces con su mejor amiga, Camila.  Diseñaron un disfraz de mariposas que brillaba con colores. El día del carnaval, Sofía y Camila se unieron a las personas que estaban en la plaza del  pueblo. La música sonaba fuerte y todos bailaban. Las niñas desfilaron por las calles, mostrando sus hermosos disfraces con orgullo. Durante el desfile,  Sofía vio a una niña que parecía perdida y triste entre la gente. Sin dudarlo, se acercó a ella y descubrió que se llamaba Manuela y había perdido a sus padres. Sofía decidió ayudar a Manuela a encontrar a su familia. Juntas recorrieron la plaza, preguntándole a las personas si habían visto a los padres de Manuela. Después de buscar mucho, los encontraron cerca de un puesto de comida. Manuela estaba tan agradecida que abrazó a Sofía con fuerza. Sus padres también le agradecieron.Esa noche, durante el concurso de disfraces, Sofía y Camila ganaron el primer lugar. Aunque estaban felices por ganar, lo que más alegraba a Sofía era haber ayudado a Manuela. Aprendieron que, aunque ganar es divertido, ayudar a los demás es lo más importante. Desde entonces, Sofía y Camila siguieron participando en el carnaval, recordando que la magia del festival estaba en compartir y cuidar a los demás.",32
"En un tranquilo barrio de una ciudad, vivía una niña llamada Juanita. A Juanita le preocupaba mucho el medio ambiente y siempre trataba de hacer todo lo posible para cuidarlo. Un día, mientras caminaba  hacia el colegio, vio que las calles estaban llenas de basura. Decidió que debía hacer algo para ayudar y tuvo una gran idea: organizar una campaña de reciclaje en su barrio. Con la ayuda de su hermano menor, Miguel, comenzó a diseñar afiches y folletos para informar a los vecinos sobre la importancia de reciclar. Juntos, fueron a entregarlos por todo el barrio, invitando a todos a participar en una jornada de limpieza y reciclaje el siguiente sábado. Al  principio, algunos vecinos no querían participar, pero Juanita no se dio por vencida. El día de la campaña, Juanita y Miguel se levantaron temprano y  prepararon todo lo necesario: bolsas de basura,  guantes y recipientes para separar la basura. Para su sorpresa, muchos vecinos llegaron para ayudar. Juntos, recogieron la basura y aprendieron a separar el papel, el plástico y el vidrio. A los pocos días, Juanita vio que las calles estaban mucho más limpias y ordenadas. Su esfuerzo había valido la pena. Los vecinos, inspirados por la iniciativa de Juanita, se comprometieron a mantener el barrio limpio y a seguir reciclando. Así, la comunidad aprendió que, con pequeños cambios y la ayuda de todos, es posible hacer una gran diferencia. Juanita estaba feliz de haber inspirado a su barrio y continuó promoviendo el reciclaje, convencida de que cuidar el planeta era una misión de todos.",37
"José era un niño tímido que amaba bailar, pero solo lo hacía en su habitación. Nunca se había atrevido a bailar frente a otras personas. Sin embargo, cuando su colegio anunció un concurso de baile, José decidió vencer sus miedos y participar. Practicó día y noche para perfeccionar sus movimientos. El día del concurso, José se sentía nervioso y emocionado a la vez. A medida  que la música comenzaba a sonar, José se dejó llevar por el ritmo y comenzó a bailar con mucha energía. Todos se sorprendieron de lo bien que lo hacía. Al final del concurso, el jurado anunció a José como el ganador. Todos aplaudieron mientras José subía al escenario para recibir su premio. Desde ese día, José siguió bailando con mucha confianza, y le enseñó a otros a no tener miedo de mostrar lo que saben hacer.",32
Mamá me ama.,3
Amo a mamá.,4
Mamá ama a Memo.,4
Esa mesa es de mamá.,13
Mamá amasa la masa.,10
Memo asea la mesa.,10
Memo no es un mono.,11
Soy Momo.,9
Mamá y papá se aman.,9
Mamá a masa.,5
Mas mesas.,5
Ese oso amasa,5
Somos monos enanos.,6
Pensó en papá.,7
Papá pasea a Pepe.,7
Pisó mi pie.,8
Mamá mi peina.,8
Pienso en mi papá.,8
Soy mimosa.,9
Soy mimoso.,9
Mamá y papá me aman.,9
Son nenas y nenes.,9
Ponemos pan y papas.,9
Mis manos y mis pies.,9
"Luna lee el menú, el pulpo y papas",11
Pasa el pan por la salsa.,21
La luna es luminosa.,11
Pasame la salsa.,10
Uso una lupa.,11
