ORTHO,GPMATCH,LESSON,READING,WRITING
ma,(m-m.a-a),2,1,0
ama,(a-a.m-m.a-a),2,1,0
mamá,(m-m.a-a.m-m.á-a),2,1,0
me,(m-m.e-e),3,1,0
eme,(e-e.m-m.e-e),3,1,0
amo,(a-a.m-m.o-o),4,1,0
se,(s-s.e-e),5,1,0
es,(e-e.s-s),5,1,0
sé,(s-s.é-e),5,1,0
ese,(e-e.s-s.e-e),5,1,0
oso,(o-o.s-s.o-o),5,1,0
eso,(e-e.s-s.o-o),5,1,0
esa,(e-e.s-s.a-a),5,1,0
osa,(o-o.s-s.a-a),5,1,0
asa,(a-a.s-s.a-a),5,1,0
sea,(s-s.e-e.a-a),5,1,0
mes,(m-m.e-e.s-s),5,1,0
mas,(m-m.a-a.s-s),5,1,0
ase,(a-a.s-s.e-e),5,1,0
mesa,(m-m.e-e.s-s.a-a),5,1,0
osos,(o-o.s-s.o-o.s-s),5,1,0
esos,(e-e.s-s.o-o.s-s),5,1,0
masa,(m-m.a-a.s-s.a-a),5,1,0
esas,(e-e.s-s.a-a.s-s),5,1,0
asea,(a-a.s-s.e-e.a-a),5,1,0
seas,(s-s.e-e.a-a.s-s),5,1,0
amos,(a-a.m-m.o-o.s-s),5,1,0
aseo,(a-a.s-s.e-e.o-o),5,1,0
somos,(s-s.o-o.m-m.o-o.s-s),5,1,0
asoma,(a-a.s-s.o-o.m-m.a-a),5,1,0
meses,(m-m.e-e.s-s.e-e.s-s),5,1,0
amasa,(a-a.m-m.a-a.s-s.a-a),5,1,0
mesas,(m-m.e-e.s-s.a-a.s-s),5,1,0
asomo,(a-a.s-s.o-o.m-m.o-o),5,1,0
asomó,(a-a.s-s.o-o.m-m.ó-o),5,1,0
en,(e-e.n-n),6,1,0
no,(n-n.o-o),6,1,0
son,(s-s.o-o.n-n),6,1,0
nos,(n-n.o-o.s-s),6,1,0
nena,(n-n.e-e.n-n.a-a),6,1,0
nana,(n-n.a-a.n-n.a-a),6,1,0
mano,(m-m.a-a.n-n.o-o),6,1,0
mono,(m-m.o-o.n-n.o-o),6,1,0
mona,(m-m.o-o.n-n.a-a),6,1,0
aman,(a-a.m-m.a-a.n-n),6,1,0
sean,(s-s.e-e.a-a.n-n),6,1,0
sano,(s-s.a-a.n-n.o-o),6,1,0
sana,(s-s.a-a.n-n.a-a),6,1,0
sonó,(s-s.o-o.n-n.ó-o),6,1,0
enano,(e-e.n-n.a-a.n-n.o-o),6,1,0
manos,(m-m.a-a.n-n.o-o.s-s),6,1,0
menos,(m-m.e-e.n-n.o-o.s-s),6,1,0
monos,(m-m.o-o.n-n.o-o.s-s),6,1,0
nanas,(n-n.a-a.n-n.a-a.s-s),6,1,0
nenas,(n-n.e-e.n-n.a-a.s-s),6,1,0
manso,(m-m.a-a.n-n.s-s.o-o),6,1,0
monas,(m-m.o-o.n-n.a-a.s-s),6,1,0
semana,(s-s.e-e.m-m.a-a.n-n.a-a),6,1,0
asoman,(a-a.s-s.o-o.m-m.a-a.n-n),6,1,0
mansos,(m-m.a-a.n-n.s-s.o-o.s-s),6,1,0
semanas,(s-s.e-e.m-m.a-a.n-n.a-a.s-s),6,1,0
pan,(p-p.a-a.n-n),7,1,0
pon,(p-p.o-o.n-n),7,1,0
papa,(p-p.a-a.p-p.a-a),7,1,0
popa,(p-p.o-o.p-p.a-a),7,1,0
pone,(p-p.o-o.n-n.e-e),7,1,0
mapa,(m-m.a-a.p-p.a-a),7,1,0
pana,(p-p.a-a.n-n.a-a),7,1,0
pena,(p-p.e-e.n-n.a-a),7,1,0
sopa,(s-s.o-o.p-p.a-a),7,1,0
pesa,(p-p.e-e.s-s.a-a),7,1,0
peso,(p-p.e-e.s-s.o-o),7,1,0
paso,(p-p.a-a.s-s.o-o),7,1,0
pasa,(p-p.a-a.s-s.a-a),7,1,0
sapo,(s-s.a-a.p-p.o-o),7,1,0
papá,(p-p.a-a.p-p.á-a),7,1,0
ponen,(p-p.o-o.n-n.e-e.n-n),7,1,0
paseo,(p-p.a-a.s-s.e-e.o-o),7,1,0
pasos,(p-p.a-a.s-s.o-o.s-s),7,1,0
pones,(p-p.o-o.n-n.e-e.s-s),7,1,0
pasan,(p-p.a-a.s-s.a-a.n-n),7,1,0
sapos,(s-s.a-a.p-p.o-o.s-s),7,1,0
mapas,(m-m.a-a.p-p.a-a.s-s),7,1,0
papas,(p-p.a-a.p-p.a-a.s-s),7,1,0
pesos,(p-p.e-e.s-s.o-o.s-s),7,1,0
pensó,(p-p.e-e.n-n.s-s.ó-o),7,1,0
espesa,(e-e.s-s.p-p.e-e.s-s.a-a),7,1,0
ponemos,(p-p.o-o.n-n.e-e.m-m.o-o.s-s),7,1,0
y,(y-i),9,1,0
ni,(n-n.i-i),8,1,0
mi,(m-m.i-i),8,1,0
si,(s-s.i-i),8,1,0
mí,(m-m.í-i),8,1,0
sí,(s-s.í-i),8,1,0
así,(a-a.s-s.í-i),8,1,0
pie,(p-p.i-i.e-e),8,1,0
sin,(s-s.i-i.n-n),8,1,0
mis,(m-m.i-i.s-s),8,1,0
soy,(s-s.o-o.y-i),9,1,0
mía,(m-m.í-i.a-a),8,1,0
mías,(m-m.í-i.a-a.s-s),8,1,0
mío,(m-m.í-i.o-o),8,1,0
míos,(m-m.í-i.o-o.s-s),8,1,0
papi,(p-p.a-a.p-p.i-i),8,1,0
mimo,(m-m.i-i.m-m.o-o),8,1,0
mami,(m-m.a-a.m-m.i-i),8,1,0
pies,(p-p.i-i.e-e.s-s),8,1,0
seis,(s-s.e-e.i-i.s-s),8,1,0
piso,(p-p.i-i.s-s.o-o),8,1,0
piano,(p-p.i-i.a-a.n-n.o-o),8,1,0
peina,(p-p.e-e.i-i.n-n.a-a),8,1,0
mismo,(m-m.i-i.s-s.m-m.o-o),8,1,0
misma,(m-m.i-i.s-s.m-m.a-a),8,1,0
pepino,(p-p.e-e.p-p.i-i.n-n.o-o),8,1,0
anima,(a-a.n-n.i-i.m-m.a-a),8,1,0
pienso,(p-p.i-i.e-e.n-n.s-s.o-o),8,1,0
mismos,(m-m.i-i.s-s.m-m.o-o.s-s),8,1,0
la,(l-l.a-a),10,1,0
el,(e-e.l-l),10,1,0
al,(a-a.l-l),10,1,0
le,(l-l.e-e),10,1,0
él,(é-e.l-l),10,1,0
ola,(o-o.l-l.a-a),10,1,0
ala,(a-a.l-l.a-a),10,1,0
mil,(m-m.i-i.l-l),10,1,0
los,(l-l.o-o.s-s),10,1,0
las,(l-l.a-a.s-s),10,1,0
sol,(s-s.o-o.l-l),10,1,0
les,(l-l.e-e.s-s),10,1,0
sal,(s-s.a-a.l-l),10,1,0
lee,(l-l.e-e.e-e),10,1,0
pala,(p-p.a-a.l-l.a-a),10,1,0
miel,(m-m.i-i.e-e.l-l),10,1,0
lame,(l-l.a-a.m-m.e-e),10,1,0
lima,(l-l.i-i.m-m.a-a),10,1,0
solo,(s-s.o-o.l-l.o-o),10,1,0
papel,(p-p.a-a.p-p.e-e.l-l),10,1,0
salsa,(s-s.a-a.l-l.s-s.a-a),10,1,0
paloma,(p-p.a-a.l-l.o-o.m-m.a-a),10,1,0
molino,(m-m.o-o.l-l.i-i.n-n.o-o),10,1,0
limpian,(l-l.i-i.m-m.p-p.i-i.a-a.n-n),10,1,0
animales,(a-a.n-n.i-i.m-m.a-a.l-l.e-e.s-s),10,1,0
un,(u-u.n-n),11,1,0
su,(s-s.u-u),11,1,0
una,(u-u.n-n.a-a),11,1,0
sus,(s-s.u-u.s-s),11,1,0
uno,(u-u.n-n.o-o),11,1,0
usa,(u-u.s-s.a-a),11,1,0
une,(u-u.n-n.e-e),11,1,0
uso,(u-u.s-s.o-o),11,1,0
aún,(a-a.ú-u.n-n),11,1,0
muy,(m-m.u-u.y-i),11,1,0
unos,(u-u.n-n.o-o.s-s),11,1,0
unas,(u-u.n-n.a-a.s-s),11,1,0
puso,(p-p.u-u.s-s.o-o),11,1,0
mula,(m-m.u-u.l-l.a-a),11,1,0
suma,(s-s.u-u.m-m.a-a),11,1,0
lupa,(l-l.u-u.p-p.a-a),11,1,0
miau,(m-m.i-i.a-a.u-u),11,1,0
puma,(p-p.u-u.m-m.a-a),11,1,0
unen,(u-u.n-n.e-e.n-n),11,1,0
usan,(u-u.s-s.a-a.n-n),11,1,0
menú,(m-m.e-e.n-n.ú-u),11,1,0
lunes,(l-l.u-u.n-n.e-e.s-s),11,1,0
pulpo,(p-p.u-u.l-l.p-p.o-o),11,1,0
museo,(m-m.u-u.s-s.e-e.o-o),11,1,0
espuma,(e-e.s-s.p-p.u-u.m-m.a-a),11,1,0
luminosa,(l-l.u-u.m-m.i-i.n-n.o-o.s-s.a-a),11,1,0
con,(c-k.o-o.n-n),12,1,0
cae,(c-k.a-a.e-e),12,1,0
casa,(c-k.a-a.s-s.a-a),12,1,0
como,(c-k.o-o.m-m.o-o),12,1,0
come,(c-k.o-o.m-m.e-e),12,1,0
poco,(p-p.o-o.c-k.o-o),12,1,0
cama,(c-k.a-a.m-m.a-a),12,1,0
pico,(p-p.i-i.c-k.o-o),12,1,0
cosa,(c-k.o-o.s-s.a-a),12,1,0
casi,(c-k.a-a.s-s.i-i),12,1,0
coco,(c-k.o-o.c-k.o-o),12,1,0
capa,(c-k.a-a.p-p.a-a),12,1,0
cuna,(c-k.u-u.n-n.a-a),12,1,0
cómo,(c-k.ó-o.m-m.o-o),12,1,0
pesca,(p-p.e-e.s-s.c-k.a-a),12,1,0
camino,(c-k.a-a.m-m.i-i.n-n.o-o),12,1,0
colina,(c-k.o-o.l-l.i-i.n-n.a-a),12,1,0
música,(m-m.ú-u.s-s.i-i.c-k.a-a),12,1,0
escuela,(e-e.s-s.c-k.u-u.e-e.l-l.a-a),12,1,0
película,(p-p.e-e.l-l.í-i.c-k.u-u.l-l.a-a),12,1,0
calma,(c-k.a-a.l-l.m-m.a-a),12,1,0
colmena,(c-k.o-o.l-l.m-m.e-e.n-n.a-a),12,1,0
pocas,(p-p.o-o.c-k.a-a.s-s),12,1,0
pocos,(p-p.o-o.c-k.o-o.s-s),12,1,0
espinacas,(e-e.s-s.p-p.i-i.n-n.a-a.c-k.a-a.s-s),12,1,0
campeón,(c-k.a-a.m-m.p-p.e-e.ó-o.n-n),12,1,0
campesino,(c-k.a-a.m-m.p-p.e-e.s-s.i-i.n-n.o-o),12,1,0
de,(d-d.e-e),13,1,0
da,(d-d.a-a),13,1,0
di,(d-d.i-i),13,1,0
del,(d-d.e-e.l-l),13,1,0
dos,(d-d.o-o.s-s),13,1,0
dan,(d-d.a-a.n-n),13,1,0
das,(d-d.a-a.s-s),13,1,0
día,(d-d.í-i.a-a),13,1,0
cada,(c-k.a-a.d-d.a-a),13,1,0
nada,(n-n.a-a.d-d.a-a),13,1,0
desde,(d-d.e-e.s-s.d-d.e-e),13,1,0
nido,(n-n.i-i.d-d.o-o),13,1,0
lado,(l-l.a-a.d-d.o-o),13,1,0
pide,(p-p.i-i.d-d.e-e),13,1,0
idea,(i-i.d-d.e-e.a-a),13,1,0
nudo,(n-n.u-u.d-d.o-o),13,1,0
dedo,(d-d.e-e.d-d.o-o),13,1,0
días,(d-d.í-i.a-a.s-s),13,1,0
nadie,(n-n.a-a.d-d.i-i.e-e),13,1,0
media,(m-m.e-e.d-d.i-i.a-a),13,1,0
cuando,(c-k.u-u.a-a.n-n.d-d.o-o),13,1,0
saludo,(s-s.a-a.l-l.u-u.d-d.o-o),13,1,0
moneda,(m-m.o-o.n-n.e-e.d-d.a-a),13,1,0
donde,(d-d.o-o.n-n.d-d.e-e),13,1,0
mundo,(m-m.u-u.n-n.d-d.o-o),13,1,0
tu,(t-t.u-u),14,1,0
tú,(t-t.ú-u),14,1,0
té,(t-t.é-e),14,1,0
ten,(t-t.e-e.n-n),14,1,0
tus,(t-t.u-u.s-s),14,1,0
nota,(n-n.o-o.t-t.a-a),14,1,0
alto,(a-a.l-l.t-t.o-o),14,1,0
moto,(m-m.o-o.t-t.o-o),14,1,0
esta,(e-e.s-s.t-t.a-a),14,1,0
este,(e-e.s-s.t-t.e-e),14,1,0
esto,(e-e.s-s.t-t.o-o),14,1,0
todo,(t-t.o-o.d-d.o-o),14,1,0
está,(e-e.s-s.t-t.á-a),14,1,0
tiene,(t-t.i-i.e-e.n-n.e-e),14,1,0
tanto,(t-t.a-a.n-n.t-t.o-o),14,1,0
estas,(e-e.s-s.t-t.a-a.s-s),14,1,0
antes,(a-a.n-n.t-t.e-e.s-s),14,1,0
siete,(s-s.i-i.e-e.t-t.e-e),14,1,0
estos,(e-e.s-s.t-t.o-o.s-s),14,1,0
punto,(p-p.u-u.n-n.t-t.o-o),14,1,0
tiempo,(t-t.i-i.e-e.m-m.p-p.o-o),14,1,0
maleta,(m-m.a-a.l-l.e-e.t-t.a-a),14,1,0
cuento,(c-k.u-u.e-e.n-n.t-t.o-o),14,1,0
momento,(m-m.o-o.m-m.e-e.n-n.t-t.o-o),14,1,0
cuántos,(c-k.u-u.á-a.n-n.t-t.o-o.s-s),14,1,0
adelante,(a-a.d-d.e-e.l-l.a-a.n-n.t-t.e-e),14,1,0
distinto,(d-d.i-i.s-s.t-t.i-i.n-n.t-t.o-o),14,1,0
cubo,(c-k.u-u.b-b.o-o),15,1,0
sabe,(s-s.a-a.b-b.e-e),15,1,0
sube,(s-s.u-u.b-b.e-e),15,1,0
lobo,(l-l.o-o.b-b.o-o),15,1,0
nube,(n-n.u-u.b-b.e-e),15,1,0
bebé,(b-b.e-e.b-b.é-e),15,1,0
bien,(b-b.i-i.e-e.n-n),15,1,0
saben,(s-s.a-a.b-b.e-e.n-n),15,1,0
subió,(s-s.u-u.b-b.i-i.ó-o),15,1,0
cambia,(c-k.a-a.m-m.b-b.i-i.a-a),15,1,0
estaba,(e-e.s-s.t-t.a-a.b-b.a-a),15,1,0
escoba,(e-e.s-s.c-k.o-o.b-b.a-a),15,1,0
cambio,(c-k.a-a.m-m.b-b.i-i.o-o),15,1,0
subido,(s-s.u-u.b-b.i-i.d-d.o-o),15,1,0
debo,(d-d.e-e.b-b.o-o),15,1,0
busca,(b-b.u-u.s-s.c-k.a-a),15,1,0
pasaba,(p-p.a-a.s-s.a-a.b-b.a-a),15,1,0
sabemos,(s-s.a-a.b-b.e-e.m-m.o-o.s-s),15,1,0
buenas,(b-b.u-u.e-e.n-n.a-a.s-s),15,1,0
abuela,(a-a.b-b.u-u.e-e.l-l.a-a),15,1,0
bonito,(b-b.o-o.n-n.i-i.t-t.o-o),15,1,0
subimos,(s-s.u-u.b-b.i-i.m-m.o-o.s-s),15,1,0
tocaba,(t-t.o-o.c-k.a-a.b-b.a-a),15,1,0
labios,(l-l.a-a.b-b.i-i.o-o.s-s),15,1,0
cabemos,(c-k.a-a.b-b.e-e.m-m.o-o.s-s),15,1,0
cambian,(c-k.a-a.m-m.b-b.i-i.a-a.n-n),15,1,0
acabó,(a-a.c-k.a-a.b-b.ó-o),15,1,0
ríe,(r-R.í-i.e-e),16,1,0
rey,(r-R.e-e.y-i),16,1,0
red,(r-R.e-e.d-d),16,1,0
perro,(p-p.e-e.rr-R.o-o),17,1,0
torre,(t-t.o-o.rr-R.e-e),17,1,0
corre,(c-k.o-o.rr-R.e-e),17,1,0
carro,(c-k.a-a.rr-R.o-o),17,1,0
tarro,(t-t.a-a.rr-R.o-o),17,1,0
corro,(c-k.o-o.rr-R.o-o),17,1,0
real,(r-R.e-e.a-a.l-l),16,1,0
roca,(r-R.o-o.c-k.a-a),16,1,0
rica,(r-R.i-i.c-k.a-a),16,1,0
ropa,(r-R.o-o.p-p.a-a),16,1,0
ramo,(r-R.a-a.m-m.o-o),16,1,0
barro,(b-b.a-a.rr-R.o-o),17,1,0
reina,(r-R.e-e.i-i.n-n.a-a),16,1,0
