Grapheme,Phoneme,Type,Exception
a,a,Vowel,0
ai,E,Vowel,0
ai,e,Vowel,1
aim,5,Vowel,1
ain,5,Vowel,0
am,@,Vowel,0
an,@,Vowel,0
au,o,Vowel,0
au,O,Vowel,1
aî,E,Vowel,1
b,b,Consonant,0
c,s,Consonant,0
c,k,Consonant,0
c,#,Silent,1
cc,k,Consonant,1
ch,S,Consonant,0
d,d,Consonant,0
d,#,Silent,1
dd,d,Consonant,1
e,E,Vowel,0
e,#,Silent,1
e,%,Vowel,0
e,e,Vowel,1
eau,o,Vowel,0
ei,E,Vowel,0
ein,5,Vowel,0
em,@,Vowel,0
en,@,Vowel,0
ent,#,Silent,1
er,e,Vowel,0
es,E,Vowel,0
est,E,Vowel,0
et,E,Vowel,0
et,e,Vowel,1
eu,9,Vowel,1
eu,2,Vowel,0
eu,y,Vowel,1
ez,e,Vowel,0
f,f,Consonant,0
f,#,Silent,1
ff,f,Consonant,1
g,Z,Consonant,0
g,g,Consonant,0
g,#,Silent,1
gg,g,Consonant,1
gn,N,Consonant,0
gu,g,Consonant,0
h,#,Silent,0
i,i,Vowel,0
i,j,Vowel,1
i,ij,Vowel,1
ien,j5,Vowel,0
il,j,Vowel,0
ill,ij,Vowel,0
ill,j,Consonant,0
im,5,Vowel,0
in,5,Vowel,0
j,Z,Consonant,0
k,k,Consonant,0
l,l,Consonant,0
l,#,Silent,1
ll,l,Consonant,1
m,m,Consonant,0
m,#,Silent,1
mm,m,Consonant,1
n,n,Consonant,0
nn,n,Consonant,1
o,O,Vowel,1
o,o,Vowel,0
oeu,9,Vowel,1
oeu,2,Vowel,0
oi,wa,Vowel,0
oin,w5,Vowel,0
om,§,Vowel,0
on,§,Vowel,0
ou,u,Vowel,0
ou,w,Vowel,1
oy,waj,Vowel,0
oî,wa,Vowel,0
où,u,Vowel,0
oû,u,Vowel,0
p,p,Consonant,0
p,#,Silent,1
ph,f,Consonant,0
pp,p,Consonant,1
q,k,Consonant,0
qu,k,Consonant,0
qu,kw,Consonant,1
r,R,Consonant,0
rr,R,Consonant,1
s,s,Consonant,0
s,#,Silent,1
s,z,Consonant,0
ss,s,Consonant,1
t,#,Silent,1
t,t,Consonant,0
t,s,Consonant,0
tt,t,Consonant,1
u,y,Vowel,0
u,8,Vowel,1
un,1,Vowel,0
v,v,Consonant,0
x,#,Silent,1
x,ks,Consonant,0
y,j,Consonant,0
y,i,Vowel,0
z,z,Consonant,0
z,#,Silent,1
à,a,Vowel,0
â,a,Vowel,0
ç,s,Consonant,0
è,E,Vowel,0
é,e,Vowel,0
ê,E,Vowel,0
ë,E,Vowel,0
î,i,Vowel,0
ô,o,Vowel,0
û,y,Vowel,0
