ORTHO,GPMATCH,LESSON,READING,WRITING
la,(l-l.a-a),3,1,0
le,(l-l.e-%),3,1,0
li,(l-l.i-i),4,1,0
lo,(l-l.o-o),6,1,0
lu,(l-l.u-y),7,1,0
al,(a-a.l-l),3,1,0
il,(i-i.l-l),4,1,0
ol,(o-o.l-l),6,1,0
ul,(u-y.l-l),7,1,0
ma,(m-m.a-a),5,1,0
me,(m-m.e-%),5,1,0
mi,(m-m.i-i),5,1,0
mo,(m-m.o-o),6,1,0
mu,(m-m.u-y),7,1,0
sa,(s-s.a-a),8,1,0
se,(s-s.e-%),8,1,0
si,(s-s.i-i),8,1,0
so,(s-s.o-o),8,1,0
su,(s-s.u-y),8,1,0
as,(a-a.s-s),8,1,0
is,(i-i.s-s),8,1,0
os,(o-o.s-s),8,1,0
us,(u-y.s-s),8,1,0
lé,(l-l.é-e),9,1,0
vé,(v-v.é-e),10,1,0
sé,(s-s.é-e),9,1,0
va,(v-v.a-a),10,1,0
ve,(v-v.e-%),10,1,0
vi,(v-v.i-i),10,1,0
vo,(v-v.o-o),10,1,0
vu,(v-v.u-y),10,1,0
av,(a-a.v-v),10,1,0
iv,(i-i.v-v),10,1,0
ov,(o-o.v-v),10,1,0
uv,(u-y.v-v),10,1,0
év,(é-e.v-v),10,1,0
ra,(r-R.a-a),11,1,0
re,(r-R.e-%),11,1,0
ri,(r-R.i-i),11,1,0
ro,(r-R.o-o),11,1,0
ru,(r-R.u-y),11,1,0
ar,(a-a.r-R),11,1,0
ir,(i-i.r-R),11,1,0
or,(o-o.r-R),11,1,0
ur,(u-y.r-R),11,1,0
sou,(s-s.ou-u),12,1,0
lou,(l-l.ou-u),12,1,0
ous,(ou-u.s-s),12,1,0
oul,(ou-u.l-l),12,1,0
oum,(ou-u.m-m),12,1,0
our,(ou-u.r-R),12,1,0
rou,(r-R.ou-u),12,1,0
mou,(m-m.ou-u),12,1,0
na,(n-n.a-a),13,1,0
ne,(n-n.e-%),13,1,0
ni,(n-n.i-i),13,1,0
no,(n-n.o-o),13,1,0
nu,(n-n.u-y),13,1,0
né,(n-n.é-e),13,1,0
fé,(f-f.é-e),15,1,0
fa,(f-f.a-a),15,1,0
fi,(f-f.i-i),15,1,0
fe,(f-f.e-%),15,1,0
fo,(f-f.o-o),15,1,0
fu,(f-f.u-y),15,1,0
