ORTHO,GPMATCH,LESSON,READING,WRITING
a,(a-a),1,1,0
à,(à-a),1,1,0
abeille,(a-a.b-b.e-E.e-#),37,1,0
aboyer,(a-a.b-b.oy-waj.er-e),58,1,0
abri,(a-a.b-b.r-R.i-i),24,1,0
accent,(a-a.c-k.c-s.en-@.t-#),38,1,0
accepte,(a-a.c-k.c-s.e-E.p-p.t-t.e-#),38,1,0
accident,(a-a.c-k.c-s.i-i.d-d.en-@.t-#),38,1,0
accorde,(a-a.cc-k.o-O.r-R.d-d.e-#),22,1,0
accroche,(a-a.cc-k.r-R.o-O.ch-S.e-#),22,1,0
accroché,(a-a.cc-k.r-R.o-O.ch-S.é-e),22,1,0
acheté,(a-a.ch-S.e-#.t-t.é-e),19,1,0
achète,(a-a.ch-S.è-E.t-t.e-#),23,1,0
acheter,(a-a.ch-S.e-#.t-t.er-e),46,1,0
acteur,(a-a.c-k.t-t.eu-9.r-R),39,1,0
action,(a-a.c-k.t-s.i-j.on-§),56,1,0
active,(a-a.c-k.t-t.i-i.v-v.e-#),22,1,0
activité,(a-a.c-k.t-t.i-i.v-v.i-i.t-t.é-e),22,1,0
addition,(a-a.dd-d.i-i.t-s.i-j.on-§),56,1,0
admirer,(a-a.d-d.m-m.i-i.r-R.er-e),46,1,0
adore,(a-a.d-d.o-O.r-R.e-#),18,1,0
adresse,(a-a.d-d.r-R.e-E.ss-s.e-#),37,1,0
affiche,(a-a.ff-f.i-i.ch-S.e-#),16,1,0
affreux,(a-a.ff-f.r-R.eu-2.x-#),39,1,0
âge,(â-a.g-Z.e-#),44,1,0
âgé,(â-a.g-Z.é-e),44,1,0
agent,(a-a.g-Z.en-@.t-#),44,1,0
agile,(a-a.g-Z.i-i.l-l.e-#),44,1,0
agir,(a-a.g-Z.i-i.r-R),44,1,0
agit,(a-a.g-Z.i-i.t-#),44,1,0
agite,(a-a.g-Z.i-i.t-t.e-#),44,1,0
agneau,(a-a.gn-N.eau-o),52,1,0
agréable,(a-a.g-g.r-R.é-e.a-a.b-b.l-l.e-%),25,1,0
aidant,(ai-E.d-d.an-@.t-#),33,1,0
aide,(ai-E.d-d.e-#),33,1,0
aider,(ai-E.d-d.er-e),46,1,0
aigle,(ai-E.g-g.l-l.e-%),33,1,0
aile,(ai-E.l-l.e-#),33,1,0
ailleurs,(a-a.eu-9.r-R.s-#),39,1,0
aimable,(ai-E.m-m.a-a.b-b.l-l.e-%),33,1,0
aime,(ai-E.m-m.e-#),33,1,0
aimé,(ai-E.m-m.é-e),33,1,0
aimer,(ai-E.m-m.er-e),46,1,0
ainsi,(ain-5.s-s.i-i),34,1,0
air,(ai-E.r-R),33,1,0
aise,(ai-E.s-z.e-#),45,1,0
ajouta,(a-a.j-Z.ou-u.t-t.a-a),19,1,0
ajoutant,(a-a.j-Z.ou-u.t-t.an-@.t-#),30,1,0
ajoute,(a-a.j-Z.ou-u.t-t.e-#),19,1,0
ajouter,(a-a.j-Z.ou-u.t-t.er-e),46,1,0
alla,(a-a.ll-l.a-a),3,1,0
allant,(a-a.ll-l.an-@.t-#),30,1,0
allé,(a-a.ll-l.é-e),9,1,0
aller,(a-a.ll-l.er-e),46,1,0
allez,(a-a.ll-l.ez-e),53,1,0
allons,(a-a.ll-l.on-§.s-#),26,1,0
allume,(a-a.ll-l.u-y.m-m.e-#),13,1,0
allumer,(a-a.ll-l.u-y.m-m.er-e),46,1,0
allure,(a-a.ll-l.u-y.r-R.e-#),13,1,0
alors,(a-a.l-l.o-O.r-R.s-#),13,1,0
alphabet,(a-a.l-l.a-a.b-b.et-E),48,1,0
altitude,(a-a.l-l.t-t.i-i.t-t.u-y.d-d.e-#),19,1,0
ambulance,(am-@.b-b.u-y.l-l.an-@.c-s.e-#),41,1,0
âme,(â-a.m-m.e-#),13,1,0
