ORTHO,GPMATCH,LESSON,READING,WRITING
a,(a-a),1,1,0
e,(e-e),2,1,0
ema,(e-e.m-m.a-a),3,1,0
me,(m-m.e-e),3,1,0
fé,(f-f.é-E),6,1,0
fofa,(f-f.o-o.f-f.a-a),6,1,0
uma,(u-u.m-m.a-a),7,1,0
eu,(e-e.u-u),7,1,0
fui,(f-f.u-u.i-j),7,1,0
da,(d-d.a-a),8,1,0
dá,(d-d.á-a),8,1,0
medo,(m-m.e-e.d-d.o-u),11,1,0
fada,(f-f.a-a.d-d.a-a),8,1,0
muda,(m-m.u-u.d-d.a-a),8,1,0
mola,(m-m.o-O.l-l.a-a),9,1,0
lua,(l-l.u-u.a-a),9,1,0
ele,(e-e.l-l.e-i),12,1,0
filé,(f-f.i-i.l-l.é-E),9,1,0
ela,(e-E.l-l.a-a),9,1,0
mula,(m-m.u-u.l-l.a-a),9,1,0
mala,(m-m.a-a.l-l.a-a),9,1,0
lula,(l-l.u-u.l-l.a-a),9,1,0
lima,(l-l.i-i.m-m.a-a),9,1,0
almofada,(a-a.l-w.m-m.o-o.f-f.a-a.d-d.a-a),9,1,0
fila,(f-f.i-i.l-l.a-a),9,1,0
dela,(d-d.e-E.l-l.a-a),9,1,0
lelé,(l-l.e-e.l-l.é-E),9,1,0
café,(c-k.a-a.f-f.é-E),10,1,0
caco,(c-k.a-a.c-k.o-u),11,1,0
comida,(c-k.o-o.m-m.i-i.d-d.a-a),10,1,0
cola,(c-k.o-O.l-l.a-a),10,1,0
cocada,(c-k.o-o.c-k.a-a.d-d.a-a),10,1,0
cueca,(c-k.u-u.e-E.c-k.a-a),10,1,0
coco,(c-k.o-o.c-k.o-u),11,1,0
foca,(f-f.o-O.c-k.a-a),10,1,0
cuca,(c-k.u-u.c-k.a-a),10,1,0
cuida,(c-k.u-u.i-j.d-d.a-a),10,1,0
o,(o-u),11,1,0
do,(d-d.o-u),11,1,0
filme,(f-f.i-i.l-w.m-m.e-i),12,1,0
dedo,(d-d.e-e.d-d.o-u),11,1,0
dado,(d-d.a-a.d-d.o-u),11,1,0
fome,(f-f.o-o.m-m.e-i),12,1,0
dele,(d-d.e-e.l-l.e-i),12,1,0
lado,(l-l.a-a.d-d.o-u),11,1,0
fofo,(f-f.o-o.f-f.o-u),11,1,0
mole,(m-m.o-O.l-l.e-i),12,1,0
fino,(f-f.i-i.n-n.o-u),13,1,0
nome,(n-n.o-o.m-m.e-i),13,1,0
nada,(n-n.a-a.d-d.a-a),13,1,0
numa,(n-n.u-u.m-m.a-a),13,1,0
cafuné,(c-k.a-a.f-f.u-u.n-n.é-E),13,1,0
caneca,(c-k.a-a.n-n.e-E.c-k.a-a),13,1,0
canudo,(c-k.a-a.n-n.u-u.d-d.o-u),13,1,0
felino,(f-f.e-e.l-l.i-i.n-n.o-u),13,1,0
menina,(m-m.e-e.n-n.i-i.n-n.a-a),13,1,0
menino,(m-m.e-e.n-n.i-i.n-n.o-u),13,1,0
aluna,(a-a.l-l.u-u.n-n.a-a),13,1,0
aluno,(a-a.l-l.u-u.n-n.o-u),13,1,0
nunca,(n-n.un-ū.c-k.a-a),43,1,0
nela,(n-n.e-E.l-l.a-a),13,1,0
nele,(n-n.e-E.l-l.e-i),13,1,0
duna,(d-d.u-u.n-n.a-a),13,1,0
umas,(u-u.m-m.a-a.s-s),14,1,0
dos,(d-d.o-u.s-s),14,1,0
mas,(m-m.a-a.s-s),14,1,0
nas,(n-n.a-a.s-s),14,1,0
alunos,(a-a.l-l.u-u.n-n.o-u.s-s),14,1,0
sacada,(s-s.a-a.c-k.a-a.d-d.a-a),14,1,0
salada,(s-s.a-a.l-l.a-a.d-d.a-a),14,1,0
semana,(s-s.e-e.m-m.an-ã.a-a),42,1,0
casca,(c-k.a-a.s-s.c-k.a-a),14,1,0
escola,(e-e.s-s.c-k.o-O.l-l.a-a),14,1,0
esse,(e-E.ss-s.e-i),14,1,0
isca,(i-i.s-s.c-k.a-a),14,1,0
isso,(i-i.ss-s.o-u),14,1,0
saco,(s-s.a-a.c-k.o-u),14,1,0
sala,(s-s.a-a.l-l.a-a),14,1,0
seca,(s-s.e-e.c-k.a-a),14,1,0
selo,(s-s.e-e.l-l.o-u),14,1,0
sino,(s-s.i-i.n-n.o-u),14,1,0
suas,(s-s.u-u.a-a.s-s),14,1,0
suco,(s-s.u-u.c-k.o-u),14,1,0
ri,(r-h.i-i),16,1,0
rodo,(r-h.o-O.d-d.o-u),16,1,0
rua,(r-h.u-u.a-a),16,1,0
rosca,(r-h.o-o.s-s.c-k.a-a),16,1,0
roma,(r-h.o-o.m-m.a-a),16,1,0
roeu,(r-h.o-o.eu-ew),27,1,0
rolo,(r-h.o-o.l-l.o-u),16,1,0
rádio,(r-h.á-a.d-d.i-j.o-u),16,1,0
roda,(r-h.o-O.d-d.a-a),16,1,0
corria,(c-k.o-o.rr-h.i-i.a-a),16,1,0
carro,(c-k.a-a.rr-h.o-u),16,1,0
sorri,(s-s.o-o.rr-h.i-i),16,1,0
ferro,(f-f.e-E.rr-h.o-u),16,1,0
corre,(c-k.o-O.rr-h.e-i),16,1,0
ovo,(o-O.v-v.o-u),17,1,0
vai,(v-v.ai-aj),30,1,0
uva,(u-u.v-v.a-a),17,1,0
voa,(v-v.o-o.a-a),17,1,0
vi,(v-v.i-i),17,1,0
navio,(n-n.a-a.v-v.i-i.o-u),17,1,0
oliva,(o-o.l-l.i-i.v-v.a-a),17,1,0
violino,(v-v.i-i.o-o.l-l.i-i.n-n.o-u),17,1,0
cavalo,(c-k.a-a.v-v.a-a.l-l.o-u),17,1,0
vive,(v-v.i-i.v-v.e-i),17,1,0
escova,(e-e.s-s.c-k.o-o.v-v.a-a),17,1,0
velas,(v-v.e-E.l-l.a-a.s-s),17,1,0
leve,(l-l.e-E.v-v.e-i),17,1,0
luva,(l-l.u-u.v-v.a-a),17,1,0
novo,(n-n.o-o.v-v.o-u),17,1,0
vaca,(v-v.a-a.c-k.a-a),17,1,0
vela,(v-v.e-E.l-l.a-a),17,1,0
vila,(v-v.i-i.l-l.a-a),17,1,0
moto,(m-m.o-O.t-t.o-u),18,1,0
mato,(m-m.a-a.t-t.o-u),18,1,0
estuda,(e-e.s-s.t-t.u-u.d-d.a-a),18,1,0
todo,(t-t.o-o.d-d.o-u),18,1,0
tomo,(t-t.o-o.m-m.o-u),18,1,0
rato,(r-h.a-a.t-t.o-u),18,1,0
rata,(r-h.a-a.t-t.a-a),18,1,0
rosto,(r-h.o-o.s-s.t-t.o-u),18,1,0
reta,(r-h.e-E.t-t.a-a),18,1,0
revista,(r-h.e-e.v-v.i-i.s-s.t-t.a-a),18,1,0
está,(e-e.s-s.t-t.á-a),18,1,0
terra,(t-t.e-E.rr-h.a-a),18,1,0
todas,(t-t.o-O.d-d.a-a.s-s),18,1,0
testa,(t-t.e-E.s-s.t-t.a-a),18,1,0
muito,(m-m.u-u.i-j.t-t.o-u),18,1,0
lista,(l-l.i-i.s-s.t-t.a-a),18,1,0
esta,(e-E.s-s.t-t.a-a),18,1,0
fotos,(f-f.o-O.t-t.o-u.s-s),18,1,0
festa,(f-f.e-E.s-s.t-t.a-a),18,1,0
tucano,(t-t.u-u.c-k.an-ã.o-u),42,1,0
maleta,(m-m.a-a.l-l.e-e.t-t.a-a),18,1,0
estudo,(e-e.s-s.t-t.u-u.d-d.o-u),18,1,0
esteve,(e-e.s-s.t-t.e-e.v-v.e-i),18,1,0
vasto,(v-v.a-a.s-s.t-t.o-u),18,1,0
cometa,(c-k.o-o.m-m.e-e.t-t.a-a),18,1,0
caneta,(c-k.a-a.n-n.e-e.t-t.a-a),18,1,0
castelo,(c-k.a-a.s-s.t-t.e-E.l-l.o-u),18,1,0
reto,(r-h.e-E.t-t.o-u),18,1,0
copa,(c-k.o-O.p-p.a-a),19,1,0
pula,(p-p.u-u.l-l.a-a),19,1,0
pano,(p-p.an-ã.o-u),42,1,0
pipa,(p-p.i-i.p-p.a-a),19,1,0
rápido,(r-h.á-a.p-p.i-i.d-d.o-u),19,1,0
picada,(p-p.i-i.c-k.a-a.d-d.a-a),19,1,0
pepino,(p-p.e-e.p-p.i-i.n-n.o-u),19,1,0
poeta,(p-p.o-o.e-E.t-t.a-a),19,1,0
época,(é-E.p-p.o-u.c-k.a-a),19,1,0
pipoca,(p-p.i-i.p-p.o-O.c-k.a-a),19,1,0
pétala,(p-p.é-E.t-t.a-a.l-l.a-a),19,1,0
panela,(p-p.a-a.n-n.e-E.l-l.a-a),19,1,0
piano,(p-p.i-i.an-ã.o-u),42,1,0
sapato,(s-s.a-a.p-p.a-a.t-t.o-u),19,1,0
piloto,(p-p.i-i.l-l.o-o.t-t.o-u),19,1,0
pato,(p-p.a-a.t-t.o-u),19,1,0
sapo,(s-s.a-a.p-p.o-u),19,1,0
poema,(p-p.o-o.e-e.m-m.a-a),19,1,0
pesca,(p-p.e-E.s-s.c-k.a-a),19,1,0
piada,(p-p.i-i.a-a.d-d.a-a),19,1,0
gosto,(g-g.o-o.s-s.t-t.o-u),20,1,0
gata,(g-g.a-a.t-t.a-a),20,1,0
lagoa,(l-l.a-a.g-g.o-o.a-a),20,1,0
amigo,(a-a.m-m.i-i.g-g.o-u),20,1,0
carrega,(c-k.a-a.rr-h.e-E.g-g.a-a),20,1,0
gugu,(g-g.u-u.g-g.u-u),20,1,0
gosta,(g-g.o-O.s-s.t-t.a-a),20,1,0
gato,(g-g.a-a.t-t.o-u),20,1,0
garrafa,(g-g.a-a.rr-h.a-a.f-f.a-a),20,1,0
cágado,(c-k.á-a.g-g.a-a.d-d.o-u),20,1,0
comigo,(c-k.o-o.m-m.i-i.g-g.o-u),20,1,0
fogo,(f-f.o-o.g-g.o-u),20,1,0
colega,(c-k.o-o.l-l.e-E.g-g.a-a),20,1,0
gado,(g-g.a-a.d-d.o-u),20,1,0
lago,(l-l.a-a.g-g.o-u),20,1,0
galo,(g-g.a-a.l-l.o-u),20,1,0
mago,(m-m.a-a.g-g.o-u),20,1,0
gota,(g-g.o-o.t-t.a-a),20,1,0
boa,(b-b.o-o.a-a),21,1,0
rabo,(r-h.a-a.b-b.o-u),21,1,0
boca,(b-b.o-O.c-k.a-a),21,1,0
balé,(b-b.a-a.l-l.é-E),21,1,0
bola,(b-b.o-O.l-l.a-a),21,1,0
boné,(b-b.o-o.n-n.é-E),21,1,0
bonito,(b-b.o-o.n-n.i-i.t-t.o-u),21,1,0
batata,(b-b.a-a.t-t.a-a.t-t.a-a),21,1,0
futebol,(f-f.u-u.t-t.e-e.b-b.o-O.l-w),21,1,0
burro,(b-b.u-u.rr-h.o-u),21,1,0
bala,(b-b.a-a.l-l.a-a),21,1,0
barro,(b-b.a-a.rr-h.o-u),21,1,0
bobo,(b-b.o-o.b-b.o-u),21,1,0
umbigo,(um-ū.b-b.i-i.g-g.o-u),21,1,0
bia,(b-b.i-i.a-a),21,1,0
bonita,(b-b.o-o.n-n.i-i.t-t.a-a),21,1,0
bico,(b-b.i-i.c-k.o-u),21,1,0
bota,(b-b.o-O.t-t.a-a),21,1,0
boneca,(b-b.o-o.n-n.e-E.c-k.a-a),21,1,0
bolota,(b-b.o-o.l-l.o-O.t-t.a-a),21,1,0
bolsa,(b-b.o-o.l-w.s-s.a-a),21,1,0
bebida,(b-b.e-e.b-b.i-i.d-d.a-a),21,1,0
mão,(m-m.ão-ãw),22,1,0
cão,(c-k.ão-ãw),22,1,0
não,(n-n.ão-ãw),22,1,0
são,(s-s.ão-ãw),22,1,0
mamão,(m-m.a-a.m-m.ão-ãw),22,1,0
gavião,(g-g.a-a.v-v.i-i.ão-ãw),22,1,0
limão,(l-l.i-i.m-m.ão-ãw),22,1,0
balão,(b-b.a-a.l-l.ão-ãw),22,1,0
leão,(l-l.e-e.ão-ãw),22,1,0
